date,value,weekday,working_day
2014-01-01,3315035.0,2,0
2014-01-02,4059590.0,3,1
2014-01-03,4098986.0,4,1
2014-01-04,3867911.0,5,1
2014-01-05,3648038.0,6,1
2014-01-06,3442398.0,0,0
2014-01-07,4299725.0,1,1
2014-01-08,4402576.0,2,1
2014-01-09,4447836.0,3,1
2014-01-10,4442086.0,4,1
2014-01-11,4010984.0,5,1
2014-01-12,3740962.0,6,1
2014-01-13,4485567.0,0,1
2014-01-14,4584259.0,1,1
2014-01-15,4548468.0,2,1
2014-01-16,4549115.0,3,1
2014-01-17,4521265.0,4,1
2014-01-18,4080297.0,5,1
2014-01-19,3811231.0,6,1
2014-01-20,4560067.0,0,1
2014-01-21,4699045.0,1,1
2014-01-22,4674066.0,2,1
2014-01-23,4601775.0,3,1
2014-01-24,4571282.0,4,1
2014-01-25,4034225.0,5,1
2014-01-26,3690184.0,6,1
2014-01-27,4416503.0,0,1
2014-01-28,4643258.0,1,1
2014-01-29,4609811.0,2,1
2014-01-30,4621804.0,3,1
2014-01-31,4578641.0,4,1
2014-02-01,4105022.0,5,1
2014-02-02,3786945.0,6,1
2014-02-03,4653619.0,0,1
2014-02-04,4734916.0,1,1
2014-02-05,4657366.0,2,1
2014-02-06,4549008.0,3,1
2014-02-07,4518948.0,4,1
2014-02-08,4073421.0,5,1
2014-02-09,3800315.0,6,1
2014-02-10,4511513.0,0,1
2014-02-11,4752804.0,1,1
2014-02-12,4687747.0,2,1
2014-02-13,4541862.0,3,1
2014-02-14,4400761.0,4,1
2014-02-15,3961110.0,5,1
2014-02-16,3708226.0,6,1
2014-02-17,4446137.0,0,1
2014-02-18,4540972.0,1,1
2014-02-19,4473137.0,2,1
2014-02-20,4462116.0,3,1
2014-02-21,4418498.0,4,1
2014-02-22,3954322.0,5,1
2014-02-23,3650877.0,6,1
2014-02-24,4411221.0,0,1
2014-02-25,4521561.0,1,1
2014-02-26,4484611.0,2,1
2014-02-27,4488402.0,3,1
2014-02-28,4393001.0,4,1
2014-03-01,4058273.0,5,1
2014-03-02,3622174.0,6,1
2014-03-03,4335839.0,0,1
2014-03-04,4485233.0,1,1
2014-03-05,4383097.0,2,1
2014-03-06,4300864.0,3,1
2014-03-07,4247044.0,4,1
2014-03-08,3757488.0,5,1
2014-03-09,3449969.0,6,1
2014-03-10,4147556.0,0,1
2014-03-11,4238624.0,1,1
2014-03-12,4239528.0,2,1
2014-03-13,4229423.0,3,1
2014-03-14,4235258.0,4,1
2014-03-15,3760377.0,5,1
2014-03-16,3402561.0,6,1
2014-03-17,4004387.0,0,1
2014-03-18,4078188.0,1,1
2014-03-19,3952064.0,2,1
2014-03-20,4008081.0,3,1
2014-03-21,4034647.0,4,1
2014-03-22,3663843.0,5,1
2014-03-23,3414354.0,6,1
2014-03-24,4167742.0,0,1
2014-03-25,4301669.0,1,1
2014-03-26,4342449.0,2,1
2014-03-27,4189442.0,3,1
2014-03-28,4257135.0,4,1
2014-03-29,3887007.0,5,1
2014-03-30,3387774.0,6,1
2014-03-31,4142656.0,0,1
2014-04-01,4193562.0,1,1
2014-04-02,4226833.0,2,1
2014-04-03,4227452.0,3,1
2014-04-04,4175149.0,4,1
2014-04-05,3702698.0,5,1
2014-04-06,3340909.0,6,1
2014-04-07,3930104.0,0,1
2014-04-08,3990583.0,1,1
2014-04-09,4004157.0,2,1
2014-04-10,3953651.0,3,1
2014-04-11,3984392.0,4,1
2014-04-12,3581024.0,5,1
2014-04-13,3234148.0,6,1
2014-04-14,3805318.0,0,1
2014-04-15,3865555.0,1,1
2014-04-16,3807132.0,2,1
2014-04-17,3365671.0,3,0
2014-04-18,3056935.0,4,0
2014-04-19,3212573.0,5,1
2014-04-20,3052328.0,6,1
2014-04-21,3378984.0,0,1
2014-04-22,3793958.0,1,1
2014-04-23,3787972.0,2,1
2014-04-24,3919721.0,3,1
2014-04-25,3955401.0,4,1
2014-04-26,3600799.0,5,1
2014-04-27,3239089.0,6,1
2014-04-28,3823535.0,0,1
2014-04-29,3917400.0,1,1
2014-04-30,3930210.0,2,1
2014-05-01,3233103.0,3,0
2014-05-02,3492165.0,4,1
2014-05-03,3406516.0,5,1
2014-05-04,3168494.0,6,1
2014-05-05,3820357.0,0,1
2014-05-06,3936280.0,1,1
2014-05-07,3970870.0,2,1
2014-05-08,3975589.0,3,1
2014-05-09,3960450.0,4,1
2014-05-10,3585056.0,5,1
2014-05-11,3310572.0,6,1
2014-05-12,3919757.0,0,1
2014-05-13,4013908.0,1,1
2014-05-14,4015583.0,2,1
2014-05-15,3911724.0,3,1
2014-05-16,3920765.0,4,1
2014-05-17,3501523.0,5,1
2014-05-18,3205597.0,6,1
2014-05-19,3863368.0,0,1
2014-05-20,3969817.0,1,1
2014-05-21,3998970.0,2,1
2014-05-22,3963873.0,3,1
2014-05-23,3940095.0,4,1
2014-05-24,3537683.0,5,1
2014-05-25,3192361.0,6,1
2014-05-26,3844326.0,0,1
2014-05-27,3950383.0,1,1
2014-05-28,4000789.0,2,1
2014-05-29,3982707.0,3,1
2014-05-30,3926570.0,4,1
2014-05-31,3516159.0,5,1
2014-06-01,3208049.0,6,1
2014-06-02,3828613.0,0,1
2014-06-03,3979262.0,1,1
2014-06-04,4017381.0,2,1
2014-06-05,4029775.0,3,1
2014-06-06,4080996.0,4,1
2014-06-07,3664104.0,5,1
2014-06-08,3337447.0,6,1
2014-06-09,3911835.0,0,1
2014-06-10,4086129.0,1,1
2014-06-11,4162633.0,2,1
2014-06-12,4240654.0,3,1
2014-06-13,4290242.0,4,1
2014-06-14,3868124.0,5,1
2014-06-15,3459843.0,6,1
2014-06-16,4061172.0,0,1
2014-06-17,4161128.0,1,1
2014-06-18,4153444.0,2,1
2014-06-19,4047863.0,3,0
2014-06-20,4107634.0,4,1
2014-06-21,3738249.0,5,1
2014-06-22,3407618.0,6,1
2014-06-23,3968870.0,0,1
2014-06-24,3817867.0,1,1
2014-06-25,4009536.0,2,1
2014-06-26,4102051.0,3,1
2014-06-27,4140122.0,4,1
2014-06-28,3800153.0,5,1
2014-06-29,3388385.0,6,1
2014-06-30,3998410.0,0,1
2014-07-01,4189911.0,1,1
2014-07-02,4145918.0,2,1
2014-07-03,4083224.0,3,1
2014-07-04,4060321.0,4,1
2014-07-05,3751389.0,5,1
2014-07-06,3436882.0,6,1
2014-07-07,3984301.0,0,1
2014-07-08,4125953.0,1,1
2014-07-09,4185349.0,2,1
2014-07-10,4185164.0,3,1
2014-07-11,4172742.0,4,1
2014-07-12,3718211.0,5,1
2014-07-13,3393355.0,6,1
2014-07-14,4200158.0,0,1
2014-07-15,4403239.0,1,1
2014-07-16,4488657.0,2,1
2014-07-17,4552478.0,3,1
2014-07-18,4481784.0,4,1
2014-07-19,3874299.0,5,1
2014-07-20,3452729.0,6,1
2014-07-21,4152252.0,0,1
2014-07-22,4308228.0,1,1
2014-07-23,4400300.0,2,1
2014-07-24,4411460.0,3,1
2014-07-25,4258998.0,4,1
2014-07-26,3899844.0,5,1
2014-07-27,3565865.0,6,1
2014-07-28,4242806.0,0,1
2014-07-29,4203305.0,1,1
2014-07-30,4181023.0,2,1
2014-07-31,4158811.0,3,1
2014-08-01,4164355.0,4,1
2014-08-02,3676044.0,5,1
2014-08-03,3373291.0,6,1
2014-08-04,3996398.0,0,1
2014-08-05,4094450.0,1,1
2014-08-06,4152020.0,2,1
2014-08-07,4212212.0,3,1
2014-08-08,4199468.0,4,1
2014-08-09,3799562.0,5,1
2014-08-10,3490618.0,6,1
2014-08-11,4042839.0,0,1
2014-08-12,4102426.0,1,1
2014-08-13,4049854.0,2,1
2014-08-14,3893982.0,3,1
2014-08-15,3462806.0,4,0
2014-08-16,3482723.0,5,1
2014-08-17,3296694.0,6,1
2014-08-18,3930794.0,0,1
2014-08-19,3996558.0,1,1
2014-08-20,3984203.0,2,1
2014-08-21,3979431.0,3,1
2014-08-22,3931384.0,4,1
2014-08-23,3580663.0,5,1
2014-08-24,3354121.0,6,1
2014-08-25,4122223.0,0,1
2014-08-26,4360874.0,1,1
2014-08-27,4438503.0,2,1
2014-08-28,4443951.0,3,1
2014-08-29,4382374.0,4,1
2014-08-30,3888701.0,5,1
2014-08-31,3596811.0,6,1
2014-09-01,4401194.0,0,1
2014-09-02,4548373.0,1,1
2014-09-03,4547584.0,2,1
2014-09-04,4523901.0,3,1
2014-09-05,4468522.0,4,1
2014-09-06,3951109.0,5,1
2014-09-07,3614082.0,6,1
2014-09-08,4217322.0,0,1
2014-09-09,4398902.0,1,1
2014-09-10,4401649.0,2,1
2014-09-11,4225031.0,3,1
2014-09-12,4272617.0,4,1
2014-09-13,3867220.0,5,1
2014-09-14,3524498.0,6,1
2014-09-15,4184497.0,0,1
2014-09-16,4274091.0,1,1
2014-09-17,4284982.0,2,1
2014-09-18,4256613.0,3,1
2014-09-19,4208120.0,4,1
2014-09-20,3720870.0,5,1
2014-09-21,3371784.0,6,1
2014-09-22,4013200.0,0,1
2014-09-23,4027764.0,1,1
2014-09-24,3975627.0,2,1
2014-09-25,3978292.0,3,1
2014-09-26,3942824.0,4,1
2014-09-27,3519963.0,5,1
2014-09-28,3247309.0,6,1
2014-09-29,3913275.0,0,1
2014-09-30,4018059.0,1,1
2014-10-01,4042616.0,2,1
2014-10-02,4069449.0,3,1
2014-10-03,4027492.0,4,1
2014-10-04,3570210.0,5,1
2014-10-05,3255651.0,6,1
2014-10-06,3932639.0,0,1
2014-10-07,4049922.0,1,1
2014-10-08,4069131.0,2,1
2014-10-09,3984148.0,3,1
2014-10-10,3955483.0,4,1
2014-10-11,3513529.0,5,1
2014-10-12,3229266.0,6,1
2014-10-13,3698598.0,0,1
2014-10-14,3913385.0,1,1
2014-10-15,4011005.0,2,1
2014-10-16,4074624.0,3,1
2014-10-17,4033213.0,4,1
2014-10-18,3563391.0,5,1
2014-10-19,3246257.0,6,1
2014-10-20,3917313.0,0,1
2014-10-21,4065936.0,1,1
2014-10-22,4044360.0,2,1
2014-10-23,3969038.0,3,1
2014-10-24,3941928.0,4,1
2014-10-25,3470232.0,5,1
2014-10-26,3314915.0,6,1
2014-10-27,3863202.0,0,1
2014-10-28,3975553.0,1,1
2014-10-29,3987451.0,2,1
2014-10-30,3966111.0,3,1
2014-10-31,3920255.0,4,1
2014-11-01,3352038.0,5,0
2014-11-02,3192876.0,6,1
2014-11-03,3918871.0,0,1
2014-11-04,4038336.0,1,1
2014-11-05,4063291.0,2,1
2014-11-06,4126019.0,3,1
2014-11-07,4111434.0,4,1
2014-11-08,3668946.0,5,1
2014-11-09,3391878.0,6,1
2014-11-10,4078167.0,0,1
2014-11-11,4303055.0,1,1
2014-11-12,4256685.0,2,1
2014-11-13,4273721.0,3,1
2014-11-14,4223016.0,4,1
2014-11-15,3729919.0,5,1
2014-11-16,3475917.0,6,1
2014-11-17,4207275.0,0,1
2014-11-18,4355386.0,1,1
2014-11-19,4316016.0,2,1
2014-11-20,4281721.0,3,1
2014-11-21,4188595.0,4,1
2014-11-22,3711691.0,5,1
2014-11-23,3467314.0,6,1
2014-11-24,4088461.0,0,1
2014-11-25,4203946.0,1,1
2014-11-26,4206216.0,2,1
2014-11-27,4267827.0,3,1
2014-11-28,4260015.0,4,1
2014-11-29,3765649.0,5,1
2014-11-30,3502094.0,6,1
2014-12-01,4163996.0,0,1
2014-12-02,4269044.0,1,1
2014-12-03,4321621.0,2,1
2014-12-04,4351462.0,3,1
2014-12-05,4334194.0,4,1
2014-12-06,3872047.0,5,0
2014-12-07,3678158.0,6,1
2014-12-08,3774805.0,0,0
2014-12-09,4524805.0,1,1
2014-12-10,4594053.0,2,1
2014-12-11,4571297.0,3,1
2014-12-12,4554541.0,4,1
2014-12-13,4103810.0,5,1
2014-12-14,3836679.0,6,1
2014-12-15,4486790.0,0,1
2014-12-16,4556472.0,1,1
2014-12-17,4518304.0,2,1
2014-12-18,4445286.0,3,1
2014-12-19,4365933.0,4,1
2014-12-20,3944801.0,5,1
2014-12-21,3667082.0,6,1
2014-12-22,4228290.0,0,1
2014-12-23,4237839.0,1,1
2014-12-24,3790374.0,2,1
2014-12-25,3262761.0,3,0
2014-12-26,3757803.0,4,1
2014-12-27,3796740.0,5,1
2014-12-28,3639429.0,6,1
2014-12-29,4177174.0,0,1
2014-12-30,4243408.0,1,1
2014-12-31,3947796.0,2,1
2015-01-01,3440333.0,3,0
2015-01-02,4069521.0,4,1
2015-01-03,3972525.0,5,1
2015-01-04,3777897.0,6,1
2015-01-05,4064704.0,0,1
2015-01-06,3632553.0,1,0
2015-01-07,4548185.0,2,1
2015-01-08,4708010.0,3,1
2015-01-09,4648739.0,4,1
2015-01-10,4135279.0,5,1
2015-01-11,3832290.0,6,1
2015-01-12,4558891.0,0,1
2015-01-13,4625274.0,1,1
2015-01-14,4622804.0,2,1
2015-01-15,4615450.0,3,1
2015-01-16,4621113.0,4,1
2015-01-17,4202038.0,5,1
2015-01-18,4015901.0,6,1
2015-01-19,4753734.0,0,1
2015-01-20,4900678.0,1,1
2015-01-21,4917199.0,2,1
2015-01-22,4883285.0,3,1
2015-01-23,4814256.0,4,1
2015-01-24,4316329.0,5,1
2015-01-25,3958450.0,6,1
2015-01-26,4681684.0,0,1
2015-01-27,4738938.0,1,1
2015-01-28,4710419.0,2,1
2015-01-29,4694063.0,3,1
2015-01-30,4633866.0,4,1
2015-01-31,4159835.0,5,1
2015-02-01,3921603.0,6,1
2015-02-02,4731568.0,0,1
2015-02-03,4842382.0,1,1
2015-02-04,4951984.0,2,1
2015-02-05,4934214.0,3,1
2015-02-06,4936027.0,4,1
2015-02-07,4492970.0,5,1
2015-02-08,4104819.0,6,1
2015-02-09,4843193.0,0,1
2015-02-10,4905044.0,1,1
2015-02-11,4847763.0,2,1
2015-02-12,4796859.0,3,1
2015-02-13,4644858.0,4,1
2015-02-14,4172491.0,5,1
2015-02-15,3833646.0,6,1
2015-02-16,4465195.0,0,1
2015-02-17,4645671.0,1,1
2015-02-18,4644501.0,2,1
2015-02-19,4559894.0,3,1
2015-02-20,4551382.0,4,1
2015-02-21,4115883.0,5,1
2015-02-22,3813192.0,6,1
2015-02-23,4506264.0,0,1
2015-02-24,4626966.0,1,1
2015-02-25,4599196.0,2,1
2015-02-26,4508794.0,3,1
2015-02-27,4394142.0,4,1
2015-02-28,3917802.0,5,1
2015-03-01,3613356.0,6,1
2015-03-02,4228719.0,0,1
2015-03-03,4254892.0,1,1
2015-03-04,4306087.0,2,1
2015-03-05,4362040.0,3,1
2015-03-06,4316526.0,4,1
2015-03-07,3786603.0,5,1
2015-03-08,3499816.0,6,1
2015-03-09,4170278.0,0,1
2015-03-10,4235208.0,1,1
2015-03-11,4207477.0,2,1
2015-03-12,4184941.0,3,1
2015-03-13,4199914.0,4,1
2015-03-14,3863902.0,5,1
2015-03-15,3609550.0,6,1
2015-03-16,4291160.0,0,1
2015-03-17,4413148.0,1,1
2015-03-18,4442608.0,2,1
2015-03-19,4150543.0,3,1
2015-03-20,4279650.0,4,1
2015-03-21,3934012.0,5,1
2015-03-22,3660101.0,6,1
2015-03-23,4390073.0,0,1
2015-03-24,4498148.0,1,1
2015-03-25,4451643.0,2,1
2015-03-26,4415524.0,3,1
2015-03-27,4269872.0,4,1
2015-03-28,3739762.0,5,1
2015-03-29,3259763.0,6,1
2015-03-30,3944149.0,0,1
2015-03-31,3971949.0,1,1
2015-04-01,3908569.0,2,1
2015-04-02,3428810.0,3,0
2015-04-03,3111112.0,4,0
2015-04-04,3275511.0,5,1
2015-04-05,3154371.0,6,1
2015-04-06,3445850.0,0,1
2015-04-07,3930653.0,1,1
2015-04-08,4061787.0,2,1
2015-04-09,4115980.0,3,1
2015-04-10,4063330.0,4,1
2015-04-11,3676205.0,5,1
2015-04-12,3376530.0,6,1
2015-04-13,3925519.0,0,1
2015-04-14,4031845.0,1,1
2015-04-15,4084742.0,2,1
2015-04-16,4055931.0,3,1
2015-04-17,4003823.0,4,1
2015-04-18,3584708.0,5,1
2015-04-19,3300555.0,6,1
2015-04-20,3898066.0,0,1
2015-04-21,3985991.0,1,1
2015-04-22,3972711.0,2,1
2015-04-23,3899044.0,3,1
2015-04-24,3926423.0,4,1
2015-04-25,3598453.0,5,1
2015-04-26,3342928.0,6,1
2015-04-27,3921803.0,0,1
2015-04-28,3969814.0,1,1
2015-04-29,3983799.0,2,1
2015-04-30,3995061.0,3,1
2015-05-01,3273692.0,4,0
2015-05-02,3392088.0,5,1
2015-05-03,3245556.0,6,1
2015-05-04,3943150.0,0,1
2015-05-05,4028577.0,1,1
2015-05-06,4013562.0,2,1
2015-05-07,4013319.0,3,1
2015-05-08,4041020.0,4,1
2015-05-09,3638057.0,5,1
2015-05-10,3343291.0,6,1
2015-05-11,4001510.0,0,1
2015-05-12,4130849.0,1,1
2015-05-13,4179692.0,2,1
2015-05-14,4265566.0,3,1
2015-05-15,3994696.0,4,1
2015-05-16,3599391.0,5,1
2015-05-17,3351412.0,6,1
2015-05-18,4028325.0,0,1
2015-05-19,4097199.0,1,1
2015-05-20,4001370.0,2,1
2015-05-21,3979209.0,3,1
2015-05-22,3997615.0,4,1
2015-05-23,3620639.0,5,1
2015-05-24,3301264.0,6,1
2015-05-25,3913254.0,0,1
2015-05-26,4040766.0,1,1
2015-05-27,4087483.0,2,1
2015-05-28,4135702.0,3,1
2015-05-29,4078126.0,4,1
2015-05-30,3650141.0,5,1
2015-05-31,3349456.0,6,1
2015-06-01,4000767.0,0,1
2015-06-02,4208988.0,1,1
2015-06-03,4247258.0,2,1
2015-06-04,4157642.0,3,1
2015-06-05,4214578.0,4,1
2015-06-06,3830810.0,5,1
2015-06-07,3513887.0,6,1
2015-06-08,4243632.0,0,1
2015-06-09,4294669.0,1,1
2015-06-10,4292616.0,2,1
2015-06-11,4208411.0,3,1
2015-06-12,4090250.0,4,1
2015-06-13,3638359.0,5,1
2015-06-14,3307382.0,6,1
2015-06-15,3941470.0,0,1
2015-06-16,3992346.0,1,1
2015-06-17,4044483.0,2,1
2015-06-18,4108779.0,3,1
2015-06-19,4172832.0,4,1
2015-06-20,3822291.0,5,1
2015-06-21,3515943.0,6,1
2015-06-22,4230338.0,0,1
2015-06-23,4228827.0,1,1
2015-06-24,3977324.0,2,1
2015-06-25,4268181.0,3,1
2015-06-26,4370301.0,4,1
2015-06-27,4050213.0,5,1
2015-06-28,3769406.0,6,1
2015-06-29,4552779.0,0,1
2015-06-30,4694609.0,1,1
2015-07-01,4656602.0,2,1
2015-07-02,4538610.0,3,1
2015-07-03,4587531.0,4,1
2015-07-04,4147763.0,5,1
2015-07-05,3910176.0,6,1
2015-07-06,4719719.0,0,1
2015-07-07,4888036.0,1,1
2015-07-08,4856135.0,2,1
2015-07-09,4756136.0,3,1
2015-07-10,4695804.0,4,1
2015-07-11,4169215.0,5,1
2015-07-12,3823021.0,6,1
2015-07-13,4649196.0,0,1
2015-07-14,4800854.0,1,1
2015-07-15,4828878.0,2,1
2015-07-16,4815323.0,3,1
2015-07-17,4801067.0,4,1
2015-07-18,4234717.0,5,1
2015-07-19,3841083.0,6,1
2015-07-20,4757976.0,0,1
2015-07-21,4904228.0,1,1
2015-07-22,4828725.0,2,1
2015-07-23,4819082.0,3,1
2015-07-24,4773104.0,4,1
2015-07-25,4108295.0,5,1
2015-07-26,3792505.0,6,1
2015-07-27,4611596.0,0,1
2015-07-28,4717551.0,1,1
2015-07-29,4784715.0,2,1
2015-07-30,4621361.0,3,1
2015-07-31,4379753.0,4,1
2015-08-01,3788553.0,5,1
2015-08-02,3565530.0,6,1
2015-08-03,4357067.0,0,1
2015-08-04,4420302.0,1,1
2015-08-05,4463160.0,2,1
2015-08-06,4455015.0,3,1
2015-08-07,4488930.0,4,1
2015-08-08,3954931.0,5,1
2015-08-09,3519011.0,6,1
2015-08-10,4150865.0,0,1
2015-08-11,4262913.0,1,1
2015-08-12,4294403.0,2,1
2015-08-13,4210545.0,3,1
2015-08-14,3973260.0,4,1
2015-08-15,3470022.0,5,1
2015-08-16,3317695.0,6,1
2015-08-17,3913747.0,0,1
2015-08-18,3952873.0,1,1
2015-08-19,3982497.0,2,1
2015-08-20,4123306.0,3,1
2015-08-21,4207791.0,4,1
2015-08-22,3789386.0,5,1
2015-08-23,3445303.0,6,1
2015-08-24,3992654.0,0,1
2015-08-25,4103832.0,1,1
2015-08-26,4189848.0,2,1
2015-08-27,4309751.0,3,1
2015-08-28,4328509.0,4,1
2015-08-29,3934032.0,5,1
2015-08-30,3672054.0,6,1
2015-08-31,4413600.0,0,1
2015-09-01,4391234.0,1,1
2015-09-02,4337384.0,2,1
2015-09-03,4215029.0,3,1
2015-09-04,4091643.0,4,1
2015-09-05,3604815.0,5,1
2015-09-06,3294812.0,6,1
2015-09-07,3919635.0,0,1
2015-09-08,3953066.0,1,1
2015-09-09,4063904.0,2,1
2015-09-10,4107405.0,3,1
2015-09-11,3943948.0,4,1
2015-09-12,3654796.0,5,1
2015-09-13,3352580.0,6,1
2015-09-14,3951747.0,0,1
2015-09-15,4062587.0,1,1
2015-09-16,4124861.0,2,1
2015-09-17,4029830.0,3,1
2015-09-18,3978459.0,4,1
2015-09-19,3582865.0,5,1
2015-09-20,3304735.0,6,1
2015-09-21,3997777.0,0,1
2015-09-22,4112794.0,1,1
2015-09-23,4084581.0,2,1
2015-09-24,4037184.0,3,1
2015-09-25,4024428.0,4,1
2015-09-26,3617815.0,5,1
2015-09-27,3328523.0,6,1
2015-09-28,3964916.0,0,1
2015-09-29,4040888.0,1,1
2015-09-30,4027558.0,2,1
2015-10-01,4029037.0,3,1
2015-10-02,4019393.0,4,1
2015-10-03,3592711.0,5,1
2015-10-04,3342430.0,6,1
2015-10-05,4047678.0,0,1
2015-10-06,4102748.0,1,1
2015-10-07,4031639.0,2,1
2015-10-08,3987214.0,3,1
2015-10-09,3896499.0,4,1
2015-10-10,3526031.0,5,1
2015-10-11,3268421.0,6,1
2015-10-12,3338427.0,0,0
2015-10-13,3920924.0,1,1
2015-10-14,3974438.0,2,1
2015-10-15,3976492.0,3,1
2015-10-16,3992446.0,4,1
2015-10-17,3614875.0,5,1
2015-10-18,3314133.0,6,1
2015-10-19,3984089.0,0,1
2015-10-20,4046574.0,1,1
2015-10-21,4020336.0,2,1
2015-10-22,4004241.0,3,1
2015-10-23,4010671.0,4,1
2015-10-24,3581865.0,5,1
2015-10-25,3427357.0,6,1
2015-10-26,3969990.0,0,1
2015-10-27,4062852.0,1,1
2015-10-28,4056144.0,2,1
2015-10-29,4057008.0,3,1
2015-10-30,4019779.0,4,1
2015-10-31,3584727.0,5,1
2015-11-01,3291312.0,6,0
2015-11-02,3812611.0,0,1
2015-11-03,4080486.0,1,1
2015-11-04,4097320.0,2,1
2015-11-05,4067478.0,3,1
2015-11-06,4048316.0,4,1
2015-11-07,3589078.0,5,1
2015-11-08,3336887.0,6,1
2015-11-09,3888549.0,0,1
2015-11-10,4033323.0,1,1
2015-11-11,4062360.0,2,1
2015-11-12,4083111.0,3,1
2015-11-13,4066890.0,4,1
2015-11-14,3614157.0,5,1
2015-11-15,3348024.0,6,1
2015-11-16,4044299.0,0,1
2015-11-17,4176334.0,1,1
2015-11-18,4179979.0,2,1
2015-11-19,4160627.0,3,1
2015-11-20,4158767.0,4,1
2015-11-21,3764778.0,5,1
2015-11-22,3530338.0,6,1
2015-11-23,4334625.0,0,1
2015-11-24,4533002.0,1,1
2015-11-25,4489321.0,2,1
2015-11-26,4443346.0,3,1
2015-11-27,4366350.0,4,1
2015-11-28,3922315.0,5,1
2015-11-29,3645986.0,6,1
2015-11-30,4405575.0,0,1
2015-12-01,4511537.0,1,1
2015-12-02,4505451.0,2,1
2015-12-03,4454610.0,3,1
2015-12-04,4404731.0,4,1
2015-12-05,3957320.0,5,1
2015-12-06,3639545.0,6,0
2015-12-07,3845202.0,0,1
2015-12-08,3690576.0,1,0
2015-12-09,4315491.0,2,1
2015-12-10,4407416.0,3,1
2015-12-11,4397290.0,4,1
2015-12-12,3992997.0,5,1
2015-12-13,3732423.0,6,1
2015-12-14,4445332.0,0,1
2015-12-15,4467217.0,1,1
2015-12-16,4415765.0,2,1
2015-12-17,4399883.0,3,1
2015-12-18,4304967.0,4,1
2015-12-19,3935946.0,5,1
2015-12-20,3644268.0,6,1
2015-12-21,4232698.0,0,1
2015-12-22,4284580.0,1,1
2015-12-23,4200396.0,2,1
2015-12-24,3687179.0,3,1
2015-12-25,3136583.0,4,0
2015-12-26,3466940.0,5,1
2015-12-27,3437467.0,6,1
2015-12-28,3942964.0,0,1
2015-12-29,3921714.0,1,1
2015-12-30,3893639.0,2,1
