"[p,q,P,Q]",AIC
"[3, 0, 1, 3]",34.0
"[2, 3, 3, 3]",1363723.4419396524
"[3, 3, 3, 3]",1364757.8832307172
"[2, 3, 2, 3]",1364811.2988055146
"[2, 3, 3, 2]",1365062.8129856212
"[3, 2, 3, 3]",1365916.7272395482
"[1, 3, 3, 3]",1366075.3610120094
"[3, 3, 2, 3]",1366378.9075668291
"[2, 2, 3, 3]",1367155.5194112936
"[3, 3, 3, 2]",1367527.6523470145
"[1, 2, 3, 3]",1367563.5675293887
"[3, 3, 2, 2]",1367611.7630903982
"[3, 2, 2, 2]",1367901.2625457572
"[3, 2, 2, 3]",1367974.9595246797
"[3, 2, 3, 2]",1367995.8737597056
"[3, 0, 3, 3]",1368329.2804301272
"[1, 3, 3, 2]",1368435.1819846032
"[2, 2, 3, 2]",1368448.270434356
"[1, 3, 2, 3]",1368652.5295634982
"[2, 3, 2, 2]",1368718.0199596162
"[2, 2, 2, 3]",1368849.261695519
"[3, 1, 3, 3]",1369006.649644493
"[1, 1, 3, 3]",1369140.5462315374
"[2, 1, 3, 3]",1369234.676937603
"[2, 0, 3, 3]",1369305.402841631
"[1, 2, 3, 2]",1369440.4344398496
"[1, 3, 2, 2]",1369550.468398325
"[2, 1, 3, 2]",1369817.2725227426
"[2, 2, 2, 2]",1369883.5964757272
"[1, 2, 2, 3]",1370056.478508505
"[1, 0, 3, 3]",1370192.0799886268
"[2, 1, 2, 3]",1370321.604170686
"[1, 2, 2, 2]",1370661.5656274129
"[3, 0, 3, 2]",1370720.6702891835
"[3, 1, 3, 2]",1370734.0595127293
"[3, 1, 2, 3]",1370825.7186455475
"[3, 0, 2, 3]",1370834.8033034345
"[2, 0, 3, 2]",1371188.2636778026
"[1, 1, 3, 2]",1371247.9995841144
"[3, 0, 2, 2]",1371290.0764439076
"[3, 1, 2, 2]",1371345.2859171736
"[2, 0, 2, 3]",1371382.6083858723
"[2, 1, 2, 2]",1371456.0517144958
"[1, 1, 2, 3]",1371519.329189409
"[0, 1, 3, 3]",1372009.269377052
"[1, 1, 2, 2]",1372145.807601831
"[2, 0, 2, 2]",1372150.3203609344
"[1, 0, 3, 2]",1372452.7013135236
"[1, 0, 2, 3]",1372601.253016624
"[1, 0, 2, 2]",1373446.7330735405
"[0, 1, 3, 2]",1373699.1613371647
"[0, 2, 3, 3]",1373704.4238124036
"[2, 3, 1, 3]",1373778.972332151
"[0, 1, 2, 3]",1373812.1018229446
"[0, 1, 2, 2]",1374543.4951820397
"[2, 1, 1, 1]",1375135.2042423254
"[2, 2, 2, 1]",1375188.9872372434
"[3, 2, 0, 0]",1375284.3316428706
"[2, 2, 3, 0]",1375371.756015465
"[0, 2, 3, 2]",1375463.8181047507
"[2, 3, 3, 0]",1375554.0119426928
"[0, 2, 2, 3]",1375570.2440078978
"[3, 2, 1, 0]",1375596.189772925
"[2, 2, 0, 3]",1375607.6056903645
"[2, 2, 0, 2]",1375632.665904254
"[2, 1, 1, 2]",1375706.746945673
"[3, 2, 0, 1]",1375828.8215787862
"[2, 2, 1, 0]",1375837.8648121206
"[2, 2, 0, 0]",1376030.2496051677
"[2, 3, 1, 1]",1376168.3214399458
"[0, 2, 2, 2]",1376247.3352843728
"[3, 2, 1, 1]",1376475.05264859
"[2, 3, 2, 1]",1376555.2893345016
"[3, 0, 3, 1]",1376941.1585199158
"[0, 3, 3, 3]",1377126.8913439857
"[3, 1, 2, 1]",1377317.823401562
"[3, 1, 0, 3]",1377328.839048045
"[3, 3, 2, 1]",1377360.4332014204
"[3, 1, 0, 2]",1377390.7784635802
"[3, 1, 2, 0]",1377568.1189132794
"[3, 1, 0, 0]",1377572.4973504676
"[2, 1, 3, 0]",1377621.640151791
"[2, 1, 0, 3]",1377634.6815001187
"[2, 1, 0, 2]",1377640.1940595384
"[2, 0, 1, 3]",1377644.4587306362
"[2, 1, 0, 0]",1377657.2462725155
"[2, 1, 2, 0]",1377670.1469701964
"[3, 3, 3, 1]",1377735.0206849382
"[2, 1, 0, 1]",1377741.895183586
"[2, 1, 1, 0]",1377789.8699073726
"[0, 0, 3, 3]",1377924.63048206
"[1, 3, 3, 0]",1378244.0667608236
"[0, 3, 3, 2]",1378255.6206801203
"[2, 3, 3, 1]",1378403.3290800662
"[3, 3, 2, 0]",1378723.285538437
"[2, 0, 1, 2]",1378835.7047372756
"[3, 3, 0, 2]",1378906.7106052027
"[3, 3, 1, 0]",1378926.4887817
"[0, 3, 2, 3]",1378956.720840932
"[2, 3, 2, 0]",1379042.8131188608
"[3, 3, 1, 2]",1379049.7082031348
"[3, 3, 1, 1]",1379067.4068175494
"[0, 3, 2, 2]",1379107.417348558
"[3, 3, 0, 3]",1379156.3989988945
"[2, 2, 1, 3]",1379305.8862461485
"[3, 3, 0, 0]",1379326.4673754813
"[3, 3, 0, 1]",1379356.083549899
"[0, 0, 3, 2]",1379371.822968505
"[2, 3, 0, 2]",1379380.5247797216
"[2, 2, 3, 1]",1379404.2446362376
"[3, 3, 1, 3]",1379558.3440120937
"[2, 3, 0, 1]",1379580.8454568652
"[2, 3, 1, 2]",1379602.6884902783
"[2, 3, 0, 0]",1379633.7908571144
"[3, 1, 1, 2]",1379675.6838512877
"[2, 3, 1, 0]",1379729.5769124883
"[1, 3, 2, 0]",1379753.7783930453
"[1, 1, 1, 3]",1379761.8284012608
"[1, 3, 1, 3]",1379906.6095554165
"[1, 3, 2, 1]",1380141.9995052144
"[2, 0, 1, 1]",1380142.2402689543
"[1, 3, 0, 1]",1380217.6888308637
"[1, 3, 0, 2]",1380253.6680764274
"[2, 3, 0, 3]",1380256.170545478
"[0, 3, 0, 2]",1380306.7892746795
"[0, 0, 2, 2]",1380550.8533606515
"[2, 2, 2, 0]",1380617.87470769
"[0, 2, 1, 3]",1380665.3197287165
"[2, 2, 1, 2]",1380743.8142899177
"[3, 1, 3, 1]",1380866.1364453954
"[1, 2, 3, 0]",1380891.6936306795
"[2, 0, 3, 1]",1381001.8550990387
"[3, 1, 1, 1]",1381021.87107937
"[3, 1, 3, 0]",1381125.3334490582
"[3, 0, 3, 0]",1381174.0650590905
"[2, 0, 3, 0]",1381252.3235146245
"[1, 1, 3, 1]",1381270.2988625795
"[1, 1, 1, 0]",1381325.1133841055
"[1, 1, 3, 0]",1381536.6609319078
"[1, 0, 1, 3]",1381612.339555572
"[2, 2, 0, 1]",1381678.212604437
"[3, 0, 2, 1]",1381718.919715894
"[0, 2, 1, 2]",1381760.7065807534
"[2, 0, 2, 1]",1381838.9945795292
"[3, 0, 0, 3]",1381936.678046532
"[3, 0, 1, 2]",1382104.5621490155
"[2, 0, 0, 3]",1382126.3436844137
"[0, 0, 2, 3]",1382171.2695358912
"[3, 0, 2, 0]",1382260.4056370768
"[3, 0, 0, 2]",1382294.0405662197
"[2, 1, 2, 1]",1382407.8707263644
"[1, 1, 2, 1]",1382426.1905767703
"[2, 0, 2, 0]",1382477.0996075023
"[0, 1, 3, 0]",1382586.4256867298
"[1, 3, 1, 0]",1382601.387564689
"[2, 2, 1, 1]",1382627.639729947
"[2, 0, 0, 2]",1382640.5306999714
"[1, 3, 0, 0]",1382681.7037338894
"[3, 0, 1, 1]",1382688.5619502747
"[3, 0, 0, 1]",1382750.3281034185
"[3, 0, 1, 0]",1382761.1526176855
"[3, 0, 0, 0]",1382792.0874021014
"[1, 1, 0, 3]",1382921.598734375
"[3, 1, 0, 1]",1382990.478249392
"[3, 1, 1, 0]",1383048.0899819408
"[2, 0, 0, 1]",1383052.4605250228
"[2, 1, 3, 1]",1383058.3250597117
"[2, 0, 1, 0]",1383108.48896763
"[2, 0, 0, 0]",1383338.8588492055
"[1, 1, 1, 2]",1383375.9791030723
"[1, 1, 2, 0]",1383396.1036542922
"[1, 3, 1, 1]",1383409.140496509
"[1, 2, 3, 1]",1383471.9833650405
"[3, 2, 1, 3]",1383580.276952351
"[1, 0, 1, 2]",1383710.6894925172
"[1, 1, 0, 2]",1383833.6606784803
"[0, 2, 3, 1]",1384020.2139071529
"[0, 3, 1, 2]",1384116.2419182872
"[1, 1, 1, 1]",1384147.9916827818
"[0, 2, 3, 0]",1384192.7126757072
"[1, 1, 0, 1]",1384235.9683816824
"[0, 1, 2, 1]",1384655.956944506
"[0, 2, 2, 1]",1384696.3186182831
"[1, 0, 3, 1]",1384705.2433710508
"[3, 1, 1, 3]",1384715.7815141245
"[3, 2, 3, 1]",1384910.561670425
"[3, 2, 3, 0]",1384927.8199102744
"[1, 1, 0, 0]",1385042.753583525
"[1, 0, 3, 0]",1385058.855012291
"[0, 2, 0, 3]",1385189.7176242429
"[0, 2, 2, 0]",1385300.2261820254
"[2, 1, 1, 3]",1385783.8118543166
"[0, 2, 0, 2]",1385876.995263816
"[3, 3, 3, 0]",1385948.180696133
"[0, 3, 3, 1]",1385950.7861166922
"[0, 2, 1, 1]",1385957.763418282
"[0, 2, 0, 1]",1386001.4388879563
"[0, 1, 3, 1]",1386109.6177203385
"[0, 3, 3, 0]",1386155.486214389
"[1, 2, 2, 1]",1386229.7826368434
"[1, 0, 2, 1]",1386365.839767119
"[0, 2, 1, 0]",1386480.168045385
"[0, 3, 2, 1]",1386676.8285367214
"[1, 3, 3, 1]",1386681.48540777
"[1, 2, 0, 3]",1386871.9793935365
"[0, 3, 0, 3]",1387110.8154912358
"[1, 0, 0, 3]",1387250.4593926356
"[0, 3, 2, 0]",1387258.5114328112
"[1, 0, 1, 0]",1387496.8501670605
"[0, 3, 0, 1]",1387916.0713262267
"[1, 0, 2, 0]",1387967.7576515167
"[0, 3, 1, 0]",1388244.2888655055
"[1, 0, 0, 0]",1388289.6460379637
"[0, 2, 0, 0]",1388336.2916645275
"[0, 3, 1, 1]",1388643.2987249158
"[3, 2, 0, 2]",1388670.7577607294
"[0, 3, 0, 0]",1388677.5515845944
"[1, 2, 2, 0]",1388764.6324587294
"[1, 0, 0, 2]",1388932.8960838253
"[1, 2, 1, 1]",1389097.2676374046
"[1, 0, 1, 1]",1389351.440592907
"[1, 2, 1, 3]",1389372.4145185174
"[3, 2, 0, 3]",1389392.256926806
"[0, 1, 0, 3]",1389436.7432722112
"[1, 0, 0, 1]",1389453.6377737515
"[1, 2, 0, 2]",1389826.089970697
"[0, 1, 2, 0]",1390085.8088692203
"[1, 2, 0, 1]",1390156.6238165954
"[0, 1, 1, 2]",1390226.2053995214
"[1, 2, 1, 2]",1390360.0911793872
"[3, 2, 1, 2]",1390469.7184853326
"[1, 2, 1, 0]",1390517.513169662
"[3, 2, 2, 1]",1390652.6678843626
"[3, 2, 2, 0]",1390674.7407973583
"[0, 1, 0, 1]",1391000.7905829458
"[1, 2, 0, 0]",1391109.0794217691
"[0, 1, 0, 2]",1391247.7055112007
"[0, 1, 1, 3]",1391400.941843622
"[0, 3, 1, 3]",1391785.1802470488
"[0, 1, 0, 0]",1392895.870201802
"[0, 1, 1, 1]",1392973.7761793695
"[0, 1, 1, 0]",1393192.76481025
"[1, 3, 1, 2]",1394077.518615217
"[1, 3, 0, 3]",1394802.694845516
"[0, 0, 3, 1]",1407390.8929272478
"[0, 0, 3, 0]",1409337.1358686967
"[0, 0, 2, 1]",1410306.538180936
"[0, 0, 1, 3]",1410399.749824044
"[0, 0, 2, 0]",1414434.3355159955
"[0, 0, 0, 3]",1416207.2988598065
"[0, 0, 1, 2]",1417767.7959877823
"[0, 0, 0, 2]",1420723.3440702364
"[0, 0, 0, 1]",1421038.596467192
"[0, 0, 1, 1]",1422077.9360913343
"[0, 0, 1, 0]",1425193.0774213723
"[0, 0, 0, 0]",2131048.9140656968
